#1:r 2:H 3:Rho0 4:RhoMean 5:S 6:Tc 7:Te 8:Vr 9:Vphi 10:tauR 11:x 12:s_e 13:B_r 14:B_phi 15:B_z
0.273 0.0091 1.65e-08 1.41e-08 3855.89 1003.98 127.22 -0.6 5698712 0.00e+00 4.84e-15 9.28e+01 1.28e-08 -1.92e-04 1.45e-01
0.279 0.0093 1.60e-08 1.37e-08 3826.71 979.76 125.23 -0.6 5638210 0.00e+00 2.19e-15 4.28e+01 3.92e-09 -5.87e-05 9.55e-02
0.285 0.0095 1.56e-08 1.33e-08 3797.79 956.11 123.27 -0.6 5578350 0.00e+00 9.84e-16 1.95e+01 1.18e-09 -1.78e-05 6.25e-02
0.291 0.0097 1.52e-08 1.30e-08 3767.84 933.34 121.34 -0.6 5519126 0.00e+00 4.50e-16 9.06e+00 3.72e-10 -5.57e-06 4.12e-02
0.297 0.0099 1.48e-08 1.26e-08 3738.29 911.07 119.45 -0.6 5460530 0.00e+00 2.14e-16 4.38e+00 1.27e-10 -1.90e-06 2.78e-02
0.303 0.0101 1.44e-08 1.23e-08 3708.80 889.38 117.58 -0.6 5402557 0.00e+00 1.16e-16 2.41e+00 5.48e-11 -8.22e-07 1.99e-02
0.310 0.0103 1.40e-08 1.19e-08 3678.51 868.44 115.75 -0.6 5345199 0.00e+00 8.12e-17 1.72e+00 3.59e-11 -5.38e-07 1.63e-02
0.317 0.0105 1.36e-08 1.16e-08 3648.53 847.99 113.95 -0.6 5288450 0.00e+00 7.35e-17 1.58e+00 3.27e-11 -4.90e-07 1.51e-02
0.323 0.0107 1.32e-08 1.13e-08 3618.39 828.10 112.17 -0.6 5232303 0.00e+00 7.37e-17 1.61e+00 3.33e-11 -5.00e-07 1.48e-02
0.330 0.0109 1.28e-08 1.10e-08 3587.41 808.93 110.43 -0.6 5176753 0.00e+00 7.56e-17 1.68e+00 3.47e-11 -5.21e-07 1.46e-02
0.338 0.0111 1.24e-08 1.06e-08 3556.75 790.19 108.71 -0.6 5121792 0.00e+00 7.78e-17 1.75e+00 3.64e-11 -5.46e-07 1.45e-02
0.345 0.0114 1.21e-08 1.03e-08 3526.16 771.93 107.03 -0.6 5067415 0.00e+00 8.01e-17 1.83e+00 3.81e-11 -5.72e-07 1.43e-02
0.352 0.0116 1.17e-08 1.00e-08 3494.70 754.34 105.37 -0.5 5013615 0.00e+00 8.25e-17 1.92e+00 4.00e-11 -5.99e-07 1.42e-02
0.360 0.0118 1.14e-08 9.75e-09 3463.38 737.17 103.74 -0.5 4960386 0.00e+00 8.49e-17 2.01e+00 4.19e-11 -6.29e-07 1.40e-02
0.368 0.0121 1.10e-08 9.42e-09 3420.39 722.91 102.14 -0.5 4907723 0.00e+00 8.79e-17 2.11e+00 4.44e-11 -6.66e-07 1.39e-02
0.376 0.0124 1.05e-08 8.95e-09 3341.03 716.76 100.55 -0.5 4855619 0.00e+00 9.25e-17 2.23e+00 4.84e-11 -7.26e-07 1.37e-02
0.384 0.0128 9.93e-09 8.50e-09 3263.53 710.66 98.99 -0.5 4804067 0.00e+00 9.74e-17 2.36e+00 5.29e-11 -7.94e-07 1.35e-02
0.392 0.0132 9.44e-09 8.07e-09 3187.64 704.65 97.45 -0.5 4753063 0.00e+00 1.03e-16 2.50e+00 5.79e-11 -8.68e-07 1.33e-02
0.400 0.0135 8.97e-09 7.67e-09 3113.73 698.64 95.94 -0.5 4702601 0.00e+00 1.08e-16 2.65e+00 6.34e-11 -9.50e-07 1.31e-02
0.409 0.0139 8.52e-09 7.29e-09 3041.35 692.73 94.45 -0.5 4652674 0.00e+00 1.14e-16 2.80e+00 6.95e-11 -1.04e-06 1.30e-02
0.418 0.0143 8.09e-09 6.92e-09 2970.66 686.86 92.99 -0.5 4603278 0.00e+00 1.20e-16 2.97e+00 7.63e-11 -1.14e-06 1.28e-02
0.427 0.0147 7.69e-09 6.58e-09 2901.62 681.05 91.55 -0.5 4554406 0.00e+00 1.26e-16 3.14e+00 8.39e-11 -1.26e-06 1.26e-02
0.436 0.0151 7.32e-09 6.26e-09 2838.80 674.18 90.14 -0.5 4506052 0.00e+00 1.32e-16 3.32e+00 9.19e-11 -1.38e-06 1.24e-02
0.445 0.0154 7.09e-09 6.06e-09 2807.72 660.16 88.76 -0.5 4458212 0.00e+00 1.37e-16 3.48e+00 9.74e-11 -1.46e-06 1.23e-02
0.455 0.0158 6.86e-09 5.87e-09 2776.80 646.48 87.41 -0.5 4410880 0.00e+00 1.41e-16 3.65e+00 1.03e-10 -1.55e-06 1.22e-02
0.465 0.0161 6.64e-09 5.68e-09 2746.21 633.08 86.08 -0.5 4364051 0.00e+00 1.46e-16 3.82e+00 1.10e-10 -1.64e-06 1.20e-02
0.475 0.0165 6.43e-09 5.50e-09 2716.97 619.72 84.77 -0.5 4317718 0.00e+00 1.51e-16 4.00e+00 1.16e-10 -1.74e-06 1.19e-02
0.485 0.0168 6.23e-09 5.33e-09 2688.23 606.61 83.49 -0.5 4271878 0.00e+00 1.55e-16 4.19e+00 1.23e-10 -1.85e-06 1.18e-02
0.496 0.0172 6.03e-09 5.16e-09 2659.54 593.83 82.23 -0.5 4226524 0.00e+00 1.60e-16 4.39e+00 1.31e-10 -1.96e-06 1.17e-02
0.506 0.0176 5.84e-09 5.00e-09 2630.87 581.39 80.99 -0.5 4181652 0.00e+00 1.66e-16 4.60e+00 1.39e-10 -2.08e-06 1.15e-02
0.517 0.0179 5.65e-09 4.84e-09 2601.95 569.32 79.77 -0.5 4137256 0.00e+00 1.71e-16 4.82e+00 1.47e-10 -2.21e-06 1.14e-02
0.528 0.0183 5.47e-09 4.68e-09 2573.19 557.55 78.58 -0.5 4093332 0.00e+00 1.77e-16 5.05e+00 1.56e-10 -2.35e-06 1.13e-02
0.540 0.0187 5.29e-09 4.53e-09 2544.55 546.05 77.41 -0.5 4049874 0.00e+00 1.83e-16 5.29e+00 1.66e-10 -2.50e-06 1.12e-02
0.551 0.0191 5.12e-09 4.38e-09 2515.54 534.94 76.25 -0.5 4006877 0.00e+00 1.89e-16 5.55e+00 1.77e-10 -2.66e-06 1.10e-02
0.563 0.0196 4.95e-09 4.24e-09 2486.81 524.07 75.12 -0.5 3964336 0.00e+00 1.95e-16 5.81e+00 1.89e-10 -2.83e-06 1.09e-02
0.576 0.0200 4.79e-09 4.10e-09 2458.32 513.44 74.01 -0.5 3922248 0.00e+00 2.02e-16 6.10e+00 2.01e-10 -3.01e-06 1.08e-02
0.588 0.0204 4.63e-09 3.96e-09 2429.36 503.19 72.92 -0.5 3880606 0.00e+00 2.09e-16 6.39e+00 2.14e-10 -3.21e-06 1.07e-02
0.601 0.0209 4.48e-09 3.83e-09 2400.80 493.12 71.85 -0.5 3839406 0.00e+00 2.16e-16 6.70e+00 2.29e-10 -3.43e-06 1.06e-02
0.614 0.0214 4.33e-09 3.70e-09 2372.17 483.35 70.79 -0.5 3798644 0.00e+00 2.24e-16 7.03e+00 2.44e-10 -3.66e-06 1.05e-02
0.627 0.0218 4.18e-09 3.58e-09 2343.71 473.80 69.76 -0.5 3758315 0.00e+00 2.31e-16 7.37e+00 2.61e-10 -3.91e-06 1.03e-02
0.640 0.0223 4.04e-09 3.46e-09 2315.17 464.53 68.75 -0.5 3718413 0.00e+00 2.39e-16 7.73e+00 2.79e-10 -4.18e-06 1.02e-02
0.654 0.0228 3.90e-09 3.34e-09 2286.70 455.49 67.75 -0.4 3678936 0.00e+00 2.48e-16 8.11e+00 2.98e-10 -4.47e-06 1.01e-02
0.668 0.0233 3.77e-09 3.23e-09 2258.49 446.65 66.78 -0.4 3639877 0.00e+00 2.57e-16 8.50e+00 3.19e-10 -4.79e-06 1.00e-02
0.683 0.0240 3.56e-09 3.05e-09 2198.23 444.43 65.79 -0.4 3601233 0.00e+00 2.72e-16 9.03e+00 3.60e-10 -5.40e-06 9.86e-03
