#1:r  2:H   3:Rho0    4:RhoMean 5:S   6:Tc  7:Te  8:Vr  9:Vphi   10:tauR	11:x	12:s_e	13:B_r	14:B_phi	15:B_z
0.142	0.0042	3.00e-07	2.56e-07	32566.56	1520.32	369.17	-1.4	7884726	0.00e+00	8.48e-11	1.23e+06 2.47e-02	6.87e+01	6.04e+01
0.146	0.0044	5.65e-07	4.84e-07	64132.00	1544.73	441.75	-0.7	7794587	0.00e+00	8.74e-11	1.25e+06 7.66e-02	1.16e+02	1.19e+02
0.149	0.0046	5.29e-07	4.52e-07	62034.15	1542.73	432.85	-0.7	7705478	0.00e+00	8.79e-11	1.26e+06 7.79e-02	1.13e+02	1.15e+02
0.153	0.0047	4.94e-07	4.23e-07	60005.02	1540.82	424.06	-0.7	7617388	0.00e+00	8.85e-11	1.27e+06 7.93e-02	1.11e+02	1.11e+02
0.156	0.0049	4.62e-07	3.96e-07	58045.94	1538.82	415.53	-0.7	7530305	0.00e+00	8.90e-11	1.28e+06 8.06e-02	1.08e+02	1.08e+02
0.160	0.0051	4.32e-07	3.70e-07	56150.92	1536.81	407.19	-0.7	7444217	0.00e+00	8.94e-11	1.28e+06 8.19e-02	1.05e+02	1.04e+02
0.163	0.0052	4.04e-07	3.46e-07	54317.86	1534.81	399.02	-0.8	7359114	0.00e+00	8.99e-11	1.29e+06 8.33e-02	1.02e+02	1.01e+02
0.167	0.0054	3.78e-07	3.24e-07	52544.73	1532.81	391.02	-0.8	7274983	0.00e+00	9.03e-11	1.30e+06 8.47e-02	9.96e+01	9.75e+01
0.171	0.0056	3.54e-07	3.03e-07	50829.57	1530.81	383.19	-0.8	7191815	0.00e+00	9.08e-11	1.31e+06 8.60e-02	9.70e+01	9.43e+01
0.175	0.0058	3.31e-07	2.83e-07	49173.54	1528.71	375.59	-0.8	7109597	0.00e+00	9.11e-11	1.31e+06 8.73e-02	9.45e+01	9.12e+01
0.179	0.0060	3.09e-07	2.65e-07	47571.56	1526.61	368.13	-0.8	7028319	0.00e+00	9.14e-11	1.32e+06 8.86e-02	9.20e+01	8.82e+01
0.183	0.0062	2.89e-07	2.48e-07	46018.98	1524.61	360.81	-0.8	6947970	0.00e+00	9.19e-11	1.33e+06 9.00e-02	8.96e+01	8.54e+01
