#1:r 2:H 3:Rho0 4:RhoMean 5:S 6:Tc 7:Te 8:Vr 9:Vphi 10:tauR 11:x 12:s_e 13:B_r 14:B_phi 15:B_z
3.948 0.1583 1.73e-11 1.48e-11 70.48 99.67 35.37 -24.1 1497483 0.00e+00 1.75e-09 1.54e+08 7.53e-02 -4.33e-01 1.22e+00
4.135 0.1655 1.63e-11 1.39e-11 69.06 94.92 34.65 -23.4 1463355 0.00e+00 1.81e-09 1.64e+08 7.11e-02 -4.13e-01 1.19e+00
4.330 0.1732 1.52e-11 1.30e-11 67.62 90.46 33.97 -22.9 1430005 0.00e+00 1.87e-09 1.75e+08 6.70e-02 -3.94e-01 1.17e+00
4.534 0.1812 1.42e-11 1.22e-11 66.15 86.29 33.32 -22.3 1397415 0.00e+00 1.93e-09 1.86e+08 6.32e-02 -3.76e-01 1.14e+00
4.748 0.1897 1.33e-11 1.14e-11 64.67 82.37 32.71 -21.8 1365568 0.00e+00 2.00e-09 1.98e+08 5.97e-02 -3.58e-01 1.12e+00
4.972 0.1987 1.24e-11 1.06e-11 63.17 78.69 32.14 -21.3 1334447 0.00e+00 2.07e-09 2.11e+08 5.63e-02 -3.42e-01 1.09e+00
5.207 0.2082 1.15e-11 9.87e-12 61.65 75.24 31.60 -20.9 1304034 0.00e+00 2.14e-09 2.24e+08 5.31e-02 -3.26e-01 1.07e+00
5.452 0.2183 1.07e-11 9.18e-12 60.12 72.00 31.08 -20.4 1274315 0.00e+00 2.22e-09 2.39e+08 5.00e-02 -3.10e-01 1.04e+00
5.710 0.2289 9.97e-12 8.53e-12 58.59 68.95 30.59 -20.0 1245274 0.00e+00 2.30e-09 2.54e+08 4.72e-02 -2.96e-01 1.01e+00
5.979 0.2401 9.26e-12 7.92e-12 57.05 66.07 30.13 -19.6 1216894 0.00e+00 2.38e-09 2.70e+08 4.45e-02 -2.82e-01 9.87e-01
6.261 0.2520 8.58e-12 7.34e-12 55.52 63.36 29.69 -19.3 1189161 0.00e+00 2.47e-09 2.87e+08 4.19e-02 -2.68e-01 9.60e-01
6.557 0.2645 7.95e-12 6.80e-12 53.99 60.80 29.27 -18.9 1162060 0.00e+00 2.56e-09 3.06e+08 3.95e-02 -2.56e-01 9.34e-01
6.866 0.2778 7.36e-12 6.30e-12 52.47 58.38 28.87 -18.6 1135576 0.00e+00 2.66e-09 3.25e+08 3.73e-02 -2.44e-01 9.07e-01
7.190 0.2918 6.80e-12 5.82e-12 50.96 56.09 28.49 -18.3 1109696 0.00e+00 2.76e-09 3.46e+08 3.51e-02 -2.32e-01 8.81e-01
7.529 0.3066 6.29e-12 5.38e-12 49.46 53.93 28.12 -18.0 1084406 0.00e+00 2.87e-09 3.68e+08 3.31e-02 -2.21e-01 8.55e-01
7.885 0.3222 5.80e-12 4.96e-12 47.99 51.87 27.76 -17.7 1059693 0.00e+00 2.98e-09 3.91e+08 3.12e-02 -2.10e-01 8.30e-01
8.257 0.3387 5.35e-12 4.58e-12 46.52 49.93 27.42 -17.4 1035542 0.00e+00 3.10e-09 4.16e+08 2.94e-02 -2.00e-01 8.05e-01
8.646 0.3562 4.93e-12 4.22e-12 45.09 48.08 27.10 -17.2 1011942 0.00e+00 3.22e-09 4.42e+08 2.78e-02 -1.91e-01 7.80e-01
9.054 0.3747 4.54e-12 3.89e-12 43.67 46.32 26.78 -16.9 988880 0.00e+00 3.35e-09 4.70e+08 2.62e-02 -1.81e-01 7.55e-01
9.482 0.3942 4.18e-12 3.58e-12 42.28 44.64 26.47 -16.7 966343 0.00e+00 3.48e-09 4.99e+08 2.47e-02 -1.73e-01 7.31e-01
9.929 0.4148 3.84e-12 3.29e-12 40.92 43.05 26.17 -16.5 944320 0.00e+00 3.62e-09 5.30e+08 2.32e-02 -1.64e-01 7.08e-01
10.398 0.4366 3.53e-12 3.02e-12 39.58 41.53 25.88 -16.3 922799 0.00e+00 3.77e-09 5.64e+08 2.19e-02 -1.56e-01 6.84e-01
10.888 0.4596 3.24e-12 2.77e-12 38.26 40.09 25.60 -16.1 901769 0.00e+00 3.92e-09 5.99e+08 2.07e-02 -1.49e-01 6.62e-01
11.402 0.4840 2.98e-12 2.55e-12 36.98 38.71 25.32 -15.9 881217 0.00e+00 4.08e-09 6.36e+08 1.95e-02 -1.42e-01 6.40e-01
11.940 0.5098 2.73e-12 2.34e-12 35.72 37.39 25.05 -15.7 861134 0.00e+00 4.25e-09 6.76e+08 1.84e-02 -1.35e-01 6.18e-01
12.503 0.5370 2.50e-12 2.14e-12 34.49 36.14 24.78 -15.5 841509 0.00e+00 4.43e-09 7.18e+08 1.73e-02 -1.28e-01 5.97e-01
13.093 0.5659 2.29e-12 1.96e-12 33.29 34.94 24.52 -15.4 822331 0.00e+00 4.61e-09 7.62e+08 1.63e-02 -1.22e-01 5.76e-01
13.711 0.5964 2.10e-12 1.79e-12 32.12 33.80 24.26 -15.2 803590 0.00e+00 4.80e-09 8.09e+08 1.54e-02 -1.16e-01 5.55e-01
14.358 0.6287 1.92e-12 1.64e-12 30.97 32.71 24.01 -15.1 785276 0.00e+00 5.01e-09 8.59e+08 1.45e-02 -1.10e-01 5.36e-01
15.036 0.6630 1.75e-12 1.50e-12 29.85 31.67 23.76 -14.9 767380 0.00e+00 5.22e-09 9.13e+08 1.37e-02 -1.05e-01 5.16e-01
15.745 0.6992 1.60e-12 1.37e-12 28.76 30.67 23.51 -14.8 749891 0.00e+00 5.44e-09 9.69e+08 1.29e-02 -9.99e-02 4.97e-01
16.488 0.7375 1.46e-12 1.25e-12 27.69 29.72 23.27 -14.7 732801 0.00e+00 5.68e-09 1.03e+09 1.22e-02 -9.50e-02 4.79e-01
17.266 0.7782 1.33e-12 1.14e-12 26.66 28.82 23.02 -14.5 716100 0.00e+00 5.92e-09 1.09e+09 1.15e-02 -9.04e-02 4.61e-01
18.081 0.8213 1.22e-12 1.04e-12 25.64 27.95 22.78 -14.4 699780 0.00e+00 6.18e-09 1.16e+09 1.08e-02 -8.59e-02 4.43e-01
18.934 0.8671 1.11e-12 9.48e-13 24.66 27.13 22.54 -14.3 683832 0.00e+00 6.46e-09 1.23e+09 1.02e-02 -8.17e-02 4.26e-01
19.828 0.9156 1.01e-12 8.63e-13 23.70 26.34 22.30 -14.2 668248 0.00e+00 6.74e-09 1.31e+09 9.63e-03 -7.76e-02 4.10e-01
20.763 0.9670 9.17e-13 7.85e-13 22.77 25.59 22.07 -14.2 653018 0.00e+00 7.05e-09 1.39e+09 9.08e-03 -7.38e-02 3.94e-01
21.743 1.0216 8.33e-13 7.13e-13 21.86 24.87 21.83 -14.1 638136 0.00e+00 7.37e-09 1.47e+09 8.57e-03 -7.01e-02 3.78e-01
22.769 1.0796 7.57e-13 6.48e-13 20.97 24.18 21.60 -14.0 623593 0.00e+00 7.70e-09 1.56e+09 8.13e-03 -6.66e-02 3.61e-01
23.843 1.1412 6.87e-13 5.88e-13 20.12 23.53 21.36 -14.0 609381 0.00e+00 8.06e-09 1.66e+09 7.76e-03 -6.30e-02 3.42e-01
24.969 1.2066 6.23e-13 5.33e-13 19.28 22.91 21.13 -13.9 595493 0.00e+00 8.43e-09 1.76e+09 7.41e-03 -5.97e-02 3.24e-01
26.147 1.2761 5.64e-13 4.83e-13 18.47 22.31 20.90 -13.9 581922 0.00e+00 8.83e-09 1.87e+09 7.08e-03 -5.65e-02 3.07e-01
27.381 1.3500 5.10e-13 4.37e-13 17.69 21.75 20.66 -13.8 568660 0.00e+00 9.25e-09 1.99e+09 6.76e-03 -5.35e-02 2.90e-01
28.673 1.4285 4.62e-13 3.95e-13 16.93 21.20 20.43 -13.8 555700 0.00e+00 9.69e-09 2.12e+09 6.45e-03 -5.06e-02 2.75e-01
30.026 1.5120 4.17e-13 3.57e-13 16.19 20.69 20.20 -13.8 543036 0.00e+00 1.02e-08 2.25e+09 6.16e-03 -4.79e-02 2.60e-01
31.442 1.6009 3.77e-13 3.22e-13 15.48 20.19 19.97 -13.8 530660 0.00e+00 1.07e-08 2.39e+09 5.88e-03 -4.53e-02 2.46e-01
32.926 1.6953 3.40e-13 2.91e-13 14.79 19.72 19.74 -13.7 518566 0.00e+00 1.12e-08 2.54e+09 5.62e-03 -4.29e-02 2.32e-01
