# 1:lamst 2:lamfst 3:disk_data_1[0] 4:disk_data_1[1] 5:disk_data_1[0] 6:disk_data_1[1] 7:disk_data_3[0] 8:disk_data_3[1] 
2.146141197858405979e-05 2.590075627937124591e-12 2.050251502614089567e-03 1.662912181082932314e-15 6.294988990221887619e-04 4.226981677649200388e-13 2.343688625775573308e-03 2.958269507461387017e-11
2.273965752357927516e-05 5.277622332964814694e-12 2.105572033739224087e-03 2.323236155601792562e-15 6.517339604882420442e-04 6.480882662217626741e-13 2.404722580389858765e-03 2.884048530741793898e-11
2.409403560239526900e-05 1.019854275860794181e-11 2.162385240840971473e-03 3.211104822876453865e-15 6.747544053110692778e-04 9.763058557016284668e-13 2.467345971235087709e-03 2.811470468152092934e-11
2.552908068239516468e-05 1.874589946024877709e-11 2.220731399772181598e-03 4.392146022774038163e-15 6.985879746785249268e-04 1.445955239442617823e-12 2.531600190148771898e-03 2.740582380717195824e-11
2.704959730463137214e-05 3.286733500104744161e-11 2.280651873121440458e-03 5.946769343444819410e-15 7.232633896483533272e-04 2.106693801223968768e-12 2.597527706887871237e-03 2.671429359757699181e-11
2.866067616948250315e-05 5.511449896009853603e-11 2.342189139535705636e-03 7.972328816874165614e-15 7.488103857590022510e-04 3.021185711540989015e-12 2.665172097199779416e-03 2.604055333710465417e-11
3.036771118035460623e-05 8.861329068126873530e-11 2.405386823834159988e-03 1.058531542028648257e-14 7.752597488629464108e-04 4.267037120751584943e-12 2.734578071624353245e-03 2.538503945759905942e-11
3.217641750250735676e-05 1.369276136768530450e-10 2.470289727934582916e-03 1.392350707815750201e-14 8.026433522257173624e-04 5.938598989355880255e-12 2.805791505046000434e-03 2.474819512826147896e-11
3.409285069746814190e-05 2.038039443310369690e-10 2.536943862614189551e-03 1.814799161906231160e-14 8.309941949353395101e-04 8.148507288613635955e-12 2.878859467015331894e-03 2.417300882381361614e-11
3.612342699709430527e-05 2.928058638882619468e-10 2.605396480127468006e-03 2.344496794388028452e-14 8.603464416684500826e-04 1.102882090416356431e-11 2.953830252860474917e-03 2.357193192382055557e-11
3.827494478516314894e-05 4.068723962466825000e-10 2.675696107704106028e-03 3.002722336882246321e-14 8.907354638610440059e-04 1.473161712897627916e-11 3.030753415608568140e-03 2.302034610749148190e-11
4.055460735840827523e-05 5.478556173114572873e-10 2.747892581950762362e-03 3.813518150856860901e-14 9.221978823334321543e-04 1.942891444786658125e-11 3.109679798738546400e-03 2.245295904997470106e-11
4.297004704320843692e-05 7.161058023809313702e-10 2.822037084181104691e-03 4.803741581932929574e-14 9.547716114208055702e-04 2.531181286893795660e-11 3.190661569786891732e-03 2.190888932917195607e-11
4.552935074866947907e-05 9.101724928327875400e-10 2.898182176699110654e-03 6.003052949842979460e-14 9.884959046625586658e-04 3.258877286965343161e-11 3.273752254828499447e-03 2.138856928457015212e-11
